Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;AL;2012;5;Male;10;Right-Handed;146;23;147;2;Car;35;0.303;41;Table Tennis;802;845;503;;775;497;23;Same length;75;70;Index finger;February;Winter;Yes;No;No favorite;Milk;Mathematics and statistics;9;9;5;Yes - broadband connection;In person;2;2;43;1;6;30;5;10;0;0;5;1;0;4;A lot;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;AL;2015;12;Male;17;Right-Handed;180;28;176;1;Car;6;0.853;56;None;;;;;;;28;Same length;80;75;Ring finger;August;Winter;No;No;Meat;Soft drink (caffeinated);Mathematics and statistics;9;6;6;Yes - other;Cell phone;5;6;8;1;2;6;8;0;4;2;4;4;20;1;Some;Some college;Country;Super strength;Rich;Other;Wildlife, animals
USA;AL;2022;12;Female;17;Right-Handed;160;24.1;165,1;1;Car;17;0.349;46;Dancing;936;588;604;658;439;652;23.1;Right foot;50.8;76.4;Ring finger;June;Summer;Yes;No;Rice/Noodle dishes;Water;Music;5;8;5;Yes - other;Myspace, Facebook, other social networking sites, or blog;20;50;7;2;1;2;50;0;15;7;10;12;0;4;A lot;Undergraduate degree;Rap/Hip hop;Telepathy;Famous;Musician or singer;Arts, culture, sports
USA;AL;2021;12;Male;17;Left-Handed;187;30;184;1;Car;10;0.845;42;Swimming;700;900;700;700;700;900;30;Same length;420;450;Ring finger;March;Summer;Yes;No;Fruit;Water;Mathematics and statistics;7;9;5;Yes - other;Text messaging;75;75;32;10;21;20;8;4;30;10;40;12;24;10;Some;Undergraduate degree;Pop;Telepathy;Happy;Musician or singer;Wildlife, animals
USA;AL;2022;12;Female;17;Right-Handed;167,4;23.5;165;2;Car;15;0.374;60;Walking/Hiking;1000;600;200;500;800;1000;23;Right foot;;;;August;Summer;No;No;Poultry;Water;Art;7;10;3;Yes - other;Cell phone;30;20;4;3;1;1;3;3;5;1;6;1;1;1;A lot;Some college;Other;Invisibility;Rich;Actor;Environment
USA;AL;2022;12;Female;18;Right-Handed;170;23;158;2;Car;15;.8 ;57;Dancing;400;700;700;800;500;500;23;Same length;80;80;Same length;February;Summer;Yes;No;Breads/Sandwiches;Water;Science;7;9;5;Yes - other;Cell phone;100;80;25;8;3;10;10;0;16;17;5;6;20;4;Some;Undergraduate degree;Pop;Telepathy;Happy;Relative;Health
USA;AL;2012;5;Male;11;Right-Handed;153;27;162;1;Car;20;281;60;Soccer;10000;738;444;;636;807;27;Same length;95;98;Ring finger;November;Spring;No;No;No favorite;Water;Science;8;8;6;Yes - broadband connection;In person;0;0;5;1;6;10;12;1;0;0;0;2;0;0;Some;Graduate degree;Rock and roll;Telepathy;Happy;Relative;Wildlife, animals
USA;AL;2013;11;Female;18;Right-Handed;135;26;130;2;Car;20;0.417;37;Other;548;555;575;580;600;600;26;Right foot;80;80;Index finger;March;Spring;No;No;Desserts;Soft drink (non-caffeinated);Music;7;11;3;Yes - broadband connection;Text messaging;100;100;50;5;2;2;2;3;4;75;75;100;0;0;A lot;Graduate degree;Pop;Fly;Happy;Relative;Arts, culture, sports
USA;AL;2018;8;Female;13;Right-Handed;159;;;1;Bus;10;0.437;69;Basketball;492;578;417;433;1000;1000;;;;;;July;Winter;No;No;Poultry;Other;Mathematics and statistics;6;5;5;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;1000;1100;5;50;15;5;10;2;50;150;150;10;0;100;A lot;High school;Rap/Hip hop;Super strength;Rich;Relative;Arts, culture, sports
USA;AL;2021;12;Female;17;Right-Handed;160;20.5;160;1;Car;5-oct;.376;42;Dancing;1000;500;400;300;100;900;21.5;Left foot;75;75;Same length;August;Spring;Yes;No;Seafood;Water;English;5;8;3;Yes - broadband connection;Internet chat or instant messaging;100;300;10;5;7;1;0;0;24;24;30;3;25;4;Some;Graduate degree;Other;Freeze time;Happy;Other;Environment
