Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2016;12;Male;17;Right-Handed;173;27;65;2;Car;15;0.001;1;Baseball/Softball;700;650;890;500;900;1000;27;Same length;22222;22222;Ring finger;November;Winter;No;No;Meat;Water;Mathematics and statistics;7;10;3;Yes - dial-up connection;;20;20;;;;;;;;;;;;;;;;;;;;;
USA;CA;2018;12;Female;17;Right-Handed;170;24;24;2;Car;13;.4;13;Tennis;1000;1000;1000;1000;1000;1000;24;Same length;7;8;Ring finger;December;Fall;No;No;Meat;Water;Social studies;8.5;12;3;Yes - broadband connection;Cell phone;30;40;2;;;;;;;;;;;;;;;;;;;;
USA;CA;2017;7;Female;12;Right-Handed;153;22;153,5;2;Bicycle;7;0.349;37;Athletics;1000;599;834;433;5;1000;22;Same length;72;79;Same length;July;Fall;No;No;Rice/Noodle dishes;Water;Science;10;11;4;Yes - broadband connection;In person;0;0;0;0;5;5;7;1.5;0;0;2;1;0;2;A lot;Graduate degree;Other;Freeze time;Rich;Relative;Wildlife, animals;;
USA;CA;2016;12;Male;17;Right-Handed;167;23;172;3;Car;30;0.275;33;Soccer;500;500;600;700;1000;1000;24;Left foot;76;81;Ring finger;August;Winter;Yes;No;Meat;Water;Science;6;10;3;Yes - broadband connection;Internet chat or instant messaging;500;500;6;0;20;5;1;20;20;1;20;1;0;0;A lot;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;International aid;;
USA;CA;2023;12;Male;17;Right-Handed;170;25;180;2;Car;25;0.327;42;Other;600;800;550;600;1000;1000;24;Right foot;75;71;Index finger;June;Summer;Yes;No;Rice/Noodle dishes;Water;Physical education;7;8;5;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;80;90;3;.1;4;2;5;16;5;2;45;1;0;5;Some;Graduate degree;Pop;Freeze time;Rich;Relative;Health;;
USA;CA;2016;9;Male;15;Right-Handed;164;;;2;Walk;5;0.486;45;Dancing;60;50;70;60;40;35;;;;;;March;Summer;No;No;Meat;Water;Mathematics and statistics;8;8;15;Yes - broadband connection;Text messaging;15;20;.10;0;3;2;3;0;2;1;1;.5;0;3;Some;Graduate degree;Pop;Telepathy;Healthy;Friend;Environment;;
USA;CA;2017;9;Male;15;Left-Handed;193;30;180;2;Bus;35;0.335;60;Martial Arts;556;545;591;610;615;620;30;Same length;3.5;3.2;Index finger;December;Winter;No;No;No favorite;Water;History;5;7;5;Yes - other;Text messaging;150;146;1;2;9;4;1;5;7;3;9;1;;;A lot;Graduate degree;Rock and roll;Freeze time;Happy;Other;Wildlife, animals;;
USA;CA;2016;7;Male;12;Left-Handed;144,8;21;49,9;3;Car;2;0.430;56;Basketball;877;850;807;807;890;890;20.5;Right foot;82.55;77.47;Index finger;November;Summer;No;Yes;Pizza/Pasta;Water;Music;8;8;4;Yes - broadband connection;In person;0;0;7;1;6;5;6;8;0;2;20;5;0;2;Some;Graduate degree;Pop;Freeze time;Happy;Friend;International aid;;
USA;CA;2018;12;Male;17;Right-Handed;176;24;176;1;Car;10;.41;39;Football (American);1000;663;497;310;519;1000;24;Same length;6.27;5.90;Index finger;May;Winter;No;No;Pizza/Pasta;Water;History;6;10;3;Yes - broadband connection;Text messaging;50;50;4;15;10;12;3;15;3;3;25;2;0;0;Some;Graduate degree;Rock and roll;Freeze time;Rich;Politician;Wildlife, animals;;
USA;CA;2013;12;Male;15;Right-Handed;166;26;167;2;Bicycle;8;0.232;34;Swimming;310;53;455;299;904;973;26;Same length;74;80;Ring finger;December;Fall;Yes;No;Meat;Milk;Computers and technology;7;8;3;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;0;0;2;.1;35;5;1;0;6;0;50;1;0;1;Some;Graduate degree;Techno/Electronic;Freeze time;Happy;Business person;Arts, culture, sports;;
USA;CA;2023;12;Male;18;Right-Handed;175;;167;2;Walk;0;0.051;63;Basketball;500;500;500;500;1000;1000;;;;;Ring finger;December;Fall;Yes;No;Meat;Water;Computers and technology;7;9;3;Yes - broadband connection;In person;5;3;28;0.5;35;0;1;6;0.3;0.5;45;0;0;0;A lot;Graduate degree;Pop;Freeze time;Healthy;Relative;Education/Youth development;;
USA;CA;2019;12;Female;16;Right-Handed;177;30;176;1;Car;15;0.39;41;None;500;500;500;650;800;900;29;Right foot;;;;August;Winter;No;No;Rice/Noodle dishes;Water;English;7;10;4;Yes - broadband connection;Cell phone;24;8;5;28;15;15;5;16;24;12;20;0;0;15;Some;Graduate degree;Heavy metal;Telepathy;Famous;Teacher;Arts, culture, sports;;
USA;CA;2021;12;Male;17;Right-Handed;178;28;183;1;Car;15;0.639;46;Football (American);50;50;40;40;20;60;28;Same length;8;8.5;Ring finger;February;Summer;No;No;Meat;Water;History;7;8;5;Yes - broadband connection;Text messaging;40;50;50;10;5;50;15;0;30;50;20;0;0;20;Very little;Some college;Rap/Hip hop;Super strength;Healthy;Sports person;Health;;
USA;CA;2019;12;Male;17;Right-Handed;180;26.67;188;1;Car;3;.57;43;Other;956;967;856;655;1000;1000;26.67;Same length;80;80;Same length;December;Summer;No;No;Meat;Water;Computers and technology;6;6.5;3;Yes - other;In person;100;100;20;1;10;5;10;1;1;15;20;2;24;3;Some;Undergraduate degree;Rap/Hip hop;Super strength;Healthy;Relative;Health;;
USA;CA;2012;12;Female;16;Right-Handed;151;24;170,5;1;Car;13;.356;60;Running/Jogging;800;800;500;652;1000;900;23.5;Right foot;93;100;Ring finger;August;Summer;No;No;Meat;Water;History;7;7;4;Yes - broadband connection;Text messaging;20;20;35;1;35;12;5;1;7;1;45;3;0;1;A lot;Other;Other;Freeze time;Happy;Relative;Environment;;
USA;CA;2011;12;Male;17;Right-Handed;187,9;33.0;195,7;1;Car;6;.47;58;Cycling;800;700;400;;500;700;33.0;Same length;17;18;Ring finger;April;Winter;No;No;Poultry;Water;Physical education;8;9;4;Yes - broadband connection;In person;6;11;6;1;8;5;10;8;20;2;20;15;7;4;;;;;;;;;
